Date,All U.S. Container Ports,Los Angeles-Long Beach,Savannah,All Other Ports
07/27/2021 12:00:00 AM,64,26,17,21
08/03/2021 12:00:00 AM,60,25,14,21
08/10/2021 12:00:00 AM,75,33,19,23
08/17/2021 12:00:00 AM,62,31,13,18
08/24/2021 12:00:00 AM,73,38,14,21
08/31/2021 12:00:00 AM,88,46,21,21
09/07/2021 12:00:00 AM,100,43,25,32
09/14/2021 12:00:00 AM,103,56,24,23
09/21/2021 12:00:00 AM,118,69,24,25
09/28/2021 12:00:00 AM,116,66,24,26
10/05/2021 12:00:00 AM,105,63,21,21
10/12/2021 12:00:00 AM,99,58,22,19
10/19/2021 12:00:00 AM,99,68,22,9
10/26/2021 12:00:00 AM,114,77,28,9
11/02/2021 12:00:00 AM,118,77,23,18
11/09/2021 12:00:00 AM,122,81,15,26
11/16/2021 12:00:00 AM,123,86,20,17
11/23/2021 12:00:00 AM,100,61,14,25
11/30/2021 12:00:00 AM,86,44,16,26
12/07/2021 12:00:00 AM,118,92,9,17
12/14/2021 12:00:00 AM,124,101,8,15
12/21/2021 12:00:00 AM,112,91,0,21
12/29/2021 12:00:00 AM,127,91,3,33
01/05/2022 12:00:00 AM,140,101,1,38
01/12/2022 12:00:00 AM,143,104,6,33
01/19/2022 12:00:00 AM,142,100,6,36
02/01/2022 12:00:00 AM,155,101,0,34
02/08/2022 12:00:00 AM,141,78,2,61
02/15/2022 12:00:00 AM,147,75,4,68
02/22/2022 12:00:00 AM,138,66,1,71
03/01/2022 12:00:00 AM,117,60,0,57
03/08/2022 12:00:00 AM,116,52,1,63
03/15/2022 12:00:00 AM,106,43,0,63
03/22/2022 12:00:00 AM,112,42,3,67
03/29/2022 12:00:00 AM,101,43,0,58
04/05/2022 12:00:00 AM,86,35,4,47
04/12/2022 12:00:00 AM,107,46,7,54
04/19/2022 12:00:00 AM,103,51,5,47
04/26/2022 12:00:00 AM,92,45,5,42
05/03/2022 12:00:00 AM,82,34,5,43
05/10/2022 12:00:00 AM,61,35,1,25
05/17/2022 12:00:00 AM,74,37,2,35
05/24/2022 12:00:00 AM,71,27,12,32
05/31/2022 12:00:00 AM,85,30,20,35
06/07/2022 12:00:00 AM,77,25,18,34
06/14/2022 12:00:00 AM,88,28,24,36
06/21/2022 12:00:00 AM,93,28,28,37
06/28/2022 12:00:00 AM,92,21,32,39
07/05/2022 12:00:00 AM,113,24,37,52
07/12/2022 12:00:00 AM,114,28,39,47
07/19/2022 12:00:00 AM,109,24,37,48
07/26/2022 12:00:00 AM,119,23,40,56
08/02/2022 12:00:00 AM,117,22,40,55
08/09/2022 12:00:00 AM,95,10,40,45
08/16/2022 12:00:00 AM,103,16,35,52
08/23/2022 12:00:00 AM,101,11,41,49
08/30/2022 12:00:00 AM,103,11,41,51
09/06/2022 12:00:00 AM,115,11,43,61
09/13/2022 12:00:00 AM,98,10,36,52
09/20/2022 12:00:00 AM,96,9,27,60
09/27/2022 12:00:00 AM,86,9,30,47
10/04/2022 12:00:00 AM,81,6,37,38
10/11/2022 12:00:00 AM,83,9,35,39
10/18/2022 12:00:00 AM,77,7,29,41
10/25/2022 12:00:00 AM,69,6,31,32
11/01/2022 12:00:00 AM,77,5,25,47
11/08/2022 12:00:00 AM,51,11,6,34
11/15/2022 12:00:00 AM,59,6,30,23
11/22/2022 12:00:00 AM,44,0,26,18
11/29/2022 12:00:00 AM,47,0,24,23
12/06/2022 12:00:00 AM,46,0,17,29
12/13/2022 12:00:00 AM,46,0,18,28
12/20/2022 12:00:00 AM,26,0,8,18
12/27/2022 12:00:00 AM,37,0,9,28
01/03/2023 12:00:00 AM,43,0,11,32
01/10/2023 12:00:00 AM,37,2,7,28
01/17/2023 12:00:00 AM,31,1,6,24
01/24/2023 12:00:00 AM,22,5,2,15
01/31/2023 12:00:00 AM,16,1,4,11
02/07/2023 12:00:00 AM,19,2,5,12
02/14/2023 12:00:00 AM,24,3,2,19
02/21/2023 12:00:00 AM,22,1,5,16
02/28/2023 12:00:00 AM,18,2,3,13
03/07/2023 12:00:00 AM,10,2,1,7
03/14/2023 12:00:00 AM,5,0,1,4
03/21/2023 12:00:00 AM,5,0,0,5
03/28/2023 12:00:00 AM,13,1,2,10
04/04/2023 12:00:00 AM,9,0,6,3
04/11/2023 12:00:00 AM,9,2,0,7
04/18/2023 12:00:00 AM,15,2,5,8
04/25/2023 12:00:00 AM,20,1,6,13
05/02/2023 12:00:00 AM,11,1,1,9
05/09/2023 12:00:00 AM,8,0,2,6
05/16/2023 12:00:00 AM,10,0,2,8
05/23/2023 12:00:00 AM,11,1,2,8
05/30/2023 12:00:00 AM,13,2,6,5
06/06/2023 12:00:00 AM,16,2,4,10
06/13/2023 12:00:00 AM,18,1,2,15
06/20/2023 12:00:00 AM,18,2,5,11
06/27/2023 12:00:00 AM,12,0,2,10
07/03/2023 12:00:00 AM,25,0,5,20
07/10/2023 12:00:00 AM,14,0,4,10
07/17/2023 12:00:00 AM,21,0,10,11
07/25/2023 12:00:00 AM,20,0,8,12
08/01/2023 12:00:00 AM,22,1,5,16
08/08/2023 12:00:00 AM,16,1,2,13
08/15/2023 12:00:00 AM,10,0,2,8
08/22/2023 12:00:00 AM,9,0,1,8
08/29/2023 12:00:00 AM,14,1,3,10
09/05/2023 12:00:00 AM,33,0,13,20
09/12/2023 12:00:00 AM,23,0,15,8
09/15/2023 12:00:00 AM,31,0,16,15
09/26/2023 12:00:00 AM,24,0,11,13
